5/27/2026,Lake Tahoe Unified School District,"Bilingual Instructional Assistant",https://www.edjoin.org/Home/JobPosting/2194548,Part-time,$20.64 - $26.35,2940 Lake Tahoe Blvd,"REPRESENTATIVE DUTIES:
● Assist in the instruction of individual or groups of students; reinforce instruction as directed by the teacher; communicate with students in English and in a designated second language to facilitate the learning process.
● Assist in the administration and scoring of tests and pupil work; assemble student lesson packets; prepare, copy and distribute classroom materials and visual aids.
● Monitor and control student behavior in the classroom and assure health and safety regulations are observed.
● Assist in determining English proficiency of identified students as directed.
● Assist in recording grades and taking roll; distribute and account for textbooks, equipment and other instructional materials.
● Observe reading abilities as assigned; assist students with letter and word pronunciation and recognition; assist students with writing exercises and assignments.
● Provide oral and written translation in parent-teacher conferences or telephone calls with limited or non-English speaking parents; translate notes, letters and other materials as needed.
● Set up and operate audio-visual equipment; operate a variety of classroom and office equipment including a calculator, laminator, copier, paper cutter and computer.
● Maintain a learning environment in a safe, orderly and clean manner; assist in preparing exhibits, displays and bulletin boards.
● Perform assigned clerical duties in support of classroom activities such as answering phones and maintaining records, logs, student folders and files as required.
● Assure the health and safety of students by following established health and safety practices and regulations.
● Monitor and log student attendance and report behavior to teachers as assigned.
● Research, collect, assemble, catalog and distribute resource materials as assigned. ● Promotes a positive and professional environment through respectful communication and cooperation with others.
● Perform related duties as assigned.",
5/26/2026,Caesar's Republic- High Dive Pool & Lounge,Bartender / Bar Attendant / Pool Attendant / Cocktail Server,Drop off resume in person at Harrah's,"Full-time, Part-time",,"PEEK nighclub (inside Harrah's) at Stateline, NV","As part of the opening team for a brand-new luxury poolside experience, delivered exceptional guest service in a fast-paced, high-energy environment. Provided full-spectrum support across bar operations and poolside service, ensuring a seamless and elevated guest experience.

Key responsibilities included:

Crafted and served premium cocktails, beer, and wine while maintaining accuracy, speed, and presentation standards
Provided attentive poolside and lounge service, taking orders, delivering beverages, and anticipating guest needs
Maintained clean, organized bar and pool areas, adhering to health, safety, and brand standards
Supported bar setup, inventory control, and restocking to ensure continuous service flow
Engaged with guests to create a vibrant, welcoming atmosphere aligned with the High Dive brand experience
Collaborated with team members to execute high-volume service during peak periods, events, and activations
Monitored pool deck environment to ensure guest comfort, safety, and overall satisfaction
Recognized for adaptability, strong guest engagement, and contributing to the successful launch of a new hospitality concept.",
5/20/2026,Sunbasin Landscape & Nursery,Plant Nursery Worker,https://www.indeed.com/viewjob?cmp=Sunbasin-Landscape&t=Plant+Nursery+Worker&jk=7ae92d13926f6431&xpse=SoDw67I3jynKS2zS3J0LbzkdCdPP&xfps=ec5e3e7e-04f2-4aac-82f0-5db6a2b1d6ee&xkcb=SoAM67M3jymQM1AWND0IbzkdCdPP&vjs=3,"Part-time, Temporary/Seasonal",$18 - $20,"Stateline, NV","Seasonal part-time summer position until Oct 1. We are looking for a plant waterer for a few hours a day mainly Tues-Thurs. May turn into more depending on experience with retail. This job may require heavy lifting, friendly customer service, retail experience. You will be moving, loading and watering plants, trees, etc. Must live locally.",
5/15/2026,Save Mart,Multi-Purpose Clerk - Deli,https://savemart.csod.com/ux/ats/careersite/25/home/requisition/41197?c=savemart&city=south%20lake%20tahoe&source=Indeed,Unknown,$16.75 - $26.50,1020 Al Tahoe Boulevard,"The Multi-Purpose Clerk may be assigned to one of several departments within the store – to include Center Store Market, Fresh Market Departments, or Guest Services Department.  The Multi-Purpose Clerk is responsible for promoting sales within assigned department, answering our guests’ questions, responding to guest requests for products, and accurately placing special orders. The Multi-Purpose Clerk practices safe food handling procedures, maintaining clean work area, orderly and free from safety hazards. The Clerk receives, inspects, and logs products for accuracy of shipment and quality as well as stocks, rotates, and merchandises product to maintain freshness and department appeal.  ",
5/13/2026,Margaritaville,Housekeeping Room Attendant,https://careers-davidsonhospitality.icims.com/jobs/26309/housekeeping-room-attendant/job?hub=10&_gl=1*es7nch*_ga*MjgwNTgyOTQ1LjE3NTg5MjgzMDE.*_ga_5Y2BYGL910*czE3Nzk4MTU5NDgkbzE3JGcxJHQxNzc5ODE4MTQ3JGo1OSRsMCRoMA..,"Full-time, Temporary/Seasonal",$21,"Stateline, NV","*This is a seasonal position that will start on June 1, 2026, and end on September 30, 2026.

Are you detail-oriented and take pride in creating clean and inviting spaces? Join our vibrant hotel or resort as a Room Attendant and play a vital role in ensuring our guests enjoy a comfortable and memorable stay. With high energy and enthusiasm, you will be responsible for maintaining the cleanliness and tidiness of guest rooms, leaving a lasting impression on our guests. From making beds to replenishing amenities, you will contribute to the overall guest satisfaction and contribute to the positive reputation of our establishment. If you thrive in a fast-paced environment, have an eye for cleanliness, and take satisfaction in providing exceptional service, this is the perfect opportunity to showcase your skills and become an integral part of our dedicated housekeeping team.",
5/13/2026,Margaritaville,Front Desk Agent,https://careers-davidsonhospitality.icims.com/jobs/26311/front-desk-agent/job?hub=10&_gl=1*10b0tax*_ga*MjgwNTgyOTQ1LjE3NTg5MjgzMDE.*_ga_5Y2BYGL910*czE3Nzk4MTU5NDgkbzE3JGcxJHQxNzc5ODE4MDExJGo1OSRsMCRoMA..,"Full-time, Temporary/Seasonal",$22,"Stateline, NV","*This is a seasonal position that will start on June 1, 2026, and end on September 30, 2026. 

Are you a friendly and outgoing individual with a passion for creating memorable guest experiences? Join our team as a Front Desk Agent and be the welcoming face of our establishment. As a Front Desk Agent, you will play a pivotal role in ensuring our guests feel valued and cared for from the moment they arrive.",
5/22/2026,Caesar's Republic,Cage Cashier and Caesars Rewards Representative,https://edmn.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs/preview/84678/?location=Stateline%2C+NV%2C+United+States&locationId=300000002323814&locationLevel=city&mode=location&radius=25&radiusUnit=MI&sortBy=POSTING_DATES_DESC,Unknown,,"Stateline, NV",This position is responsible for meeting casino and patron cash needs and promoting the company’s customer loyalty program.,
5/21/2026,El Jefe,Host/Cashier,https://edmn.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs/preview/84465/?location=Stateline%2C+NV%2C+United+States&locationId=300000002323814&locationLevel=city&mode=location&radius=25&radiusUnit=MI&sortBy=POSTING_DATES_DESC,Unknown,,"Stateline, NV",Welcomes and seats guests and receives and records payment of restaurant guest checks.,
5/222026,Cafe Del Soul,Cook II,https://recruiting.ultipro.com/TWI1006TRWH/JobBoard/b9cc79c4-75a2-4800-8508-16504f7a2d90/OpportunityDetail?opportunityId=27a0d548-b5a8-42a6-ad3f-19acbd7de74e,Full-time,$18,"Stateline, NV","Responsibilities:

Prepare and cook all items according to company standards for recipes and procedures, including the seasoning, finish and garnishment of all food items and entrees. Adheres to time and sequence of cooking operations to meet service standards/hours.
Performs all basic cooking operations including deep fat frying, broiling, steaming, sautéing, basic oven work and production/prep work. Plate up food items and dish up for large functions. Effectively use kitchen tools and utensils including knives, slicers, choppers, mixers, steamers and braziers.
Work assigned station in the kitchen, with responsibility for the cleanliness and sanitation of assigned work area.
Assist other kitchen personnel as needed.
Properly use and store food items and kitchen supplies.
Complete prep work for next shift.
Transport food and supplies to workstations as needed.
Maintain cleanliness and organization in the coolers and dry storage areas.
Provides guidance to peer group employees to oversee task completion.
Maintains regular attendance for scheduled work.
Must follow Bally’s Values and Purpose model at all times.
Perform other duties as assigned.",
5/26/2026,Ciera Steak and Chophouse,Bus Person,https://recruiting.ultipro.com/TWI1006TRWH/JobBoard/b9cc79c4-75a2-4800-8508-16504f7a2d90/OpportunityDetail?opportunityId=a432b32e-ed07-446a-84b7-dd5e5006266c,Part-time,,"Stateline, NV","Responsibilities:

Keep side stations stocked.
Assist Food Servers as necessary.
Help control waste and breakage by handling service ware with caution; loading and unloading bus tubs with care; avoiding discarding reusable items.
Assists in keeping restaurant neat and clean.
Wipes down chairs, tables, child seats, and picks up floors around each table bussed.
Observes good sanitation and safety procedures.
Adheres to the Thoughtful Service Model at all times.
Other duties as assigned.",
5/18/2026,City of South Lake Tahoe,Administrative Assistant,https://www.governmentjobs.com/careers/slaketahoe/jobs/5346744/temporary-administrative-assistant-hr?sort=PostingDate%7CDescending&pagetype=jobOpportunitiesJobs,"Full-time, Temporary/Seasonal","
$26.95 - $32.76","South Lake Tahoe, CA","The City of South Lake Tahoe is recruiting for a Temporary Administrative Assistant to provide short-term support within the Human Resources Division. This position performs a variety of general administrative, clerical, and customer service duties in support of day-to-day HR operations. Review of applications will begin immediately and continue until the position is filled. Candidates selected for further consideration will be contacted for an interview.



Under the direction of the HR Manager, the Temporary Administrative Assistant will assist with tasks such as document preparation, recordkeeping, scheduling, data entry, file maintenance, and other general office support duties as assigned. This role is intended to help maintain efficient department operations and provide administrative assistance across a range of HR functions.",6/1/2026
5/13/2026,Whole Foods,"Overnight Grocery Team Member (Stocker, Inventory, Receiving)",https://careers.wholefoods.com/overnight-grocery-team-member-stocker-inventory-receiving-part-time-seasonal/job/PAF-WFM-CD7602A3-E175-4F15-A6BD-079993C94547_5308_1741849322_0,"Part-time, Temporary/Seasonal",$18.00 - $25.40,"South Lake Tahoe, CA","Provides overnight support for assigned team to include receiving and preparing product and maintaining the floor, displays, and back stock in accordance with company standards. All Whole Foods Market Retail jobs require ensuring a positive company image by providing courteous, friendly, and efficient service to customers and Team Members at all times. All positions must be performed in accordance with team and store Standard Operating Procedures. Further, Team Members must be prepared and able to perform the duties inherent in other Team Member job descriptions. All positions must strive to support WFM core values and goals, promote national, regional, and store programs and initiatives, and ensure adherence to all applicable health and safety regulations including Food Safety and regulatory duties required in the department.",
5/13/2026,Whole Foods,"Specialty Team Member (Beer, Wine, Cheese & Chocolate)",https://careers.wholefoods.com/specialty-team-member-beer-wine-cheese-chocolate-part-time-seasonal/job/PAF-WFM-D36C2979-20C9-41A6-B757-A79506330AB7_5308_1741849427_0,"Part-time, Temporary/Seasonal",$18.00 - $25.40,"South Lake Tahoe, CA","Provides support as a member of the Specialty team to include receiving and preparing product, maintaining the Specialty floor and displays, and selling product in support of the regional Specialty vision. All Whole Foods Market Retail jobs require ensuring a positive company image by providing courteous, friendly, and efficient service to customers and Team Members at all times. All positions must be performed in accordance with team and store Standard Operating Procedures. Further, Team Members must be prepared and able to perform the duties inherent in other Team Member job descriptions. All positions must strive to support WFM core values and goals, promote national, regional, and store programs and initiatives, and ensure adherence to all applicable health and safety regulations including Food Safety and regulatory duties required in the department.",
5/13/2026,South Lake Brewing Company,Dishwasher,Dishwasher Job Posting May 2026.pdf,Full-time,$17 - $18,4000 Lake Tahoe Boulevard,"South Lake Brewing Company is seeking a dedicated Dishwasher to join our team at The Libation Lodge,
located in the Tahoe Village Center at 4000 Lake Tahoe Blvd, Ste. 26, South Lake Tahoe, CA 96150 -
across the street from the Heavenly Village.
This is an entry level position, no prior experience is required. Dishwashers will report to the Kitchen
Manager of the Libation Lodge and may receive some daily instruction from the Line Cooks and
Managers. This is a full-time position with starting pay of $17-18/hour. This position participates in our
tip pool and receives tips on a weekly to bi-weekly basis.",
5/13/2026,South Lake Brewing Company,Restaurant Line Cook,"Line Cook Job Post, April 2026.pdf",Full-time,$18 - $20,"South Lake Tahoe, CA","South Lake Brewing Company is looking to hire a Line Cook to help operate our small kitchen and
prepare food for customers at our brewpub, the Libation Lodge, located in the Tahoe Village Center.
The primary responsibility of this position is to prepare and cook food and meals for our customers at
the Libation Lodge under the direction of the head chef and/or Lead Line Cooks. Our kitchen is roughly
300 square feet in size and the food menu consists of elevated pub fare. We serve large portion
shareables/appetizers, hot sandwiches and burgers, a mixture of healthy and fried sides, and desserts.
The persons applying for this position must have at least 6 months of experience cooking professionally
in a commercial kitchen as a line cook, restaurant cook, or prep cook. Formal culinary education is a plus
but not required. The ideal candidate is organized, reliable, and passionate about delivering exceptional
food experiences to our guests. Persons applying for this position must be able to speak, read, and write
in the English language. If offered a position, applicants must show proof of current Food Handler’s
Certificate in California or obtain one within 2 weeks of employment at SLBC.",
5/11/2026,DIY Home Center,Cashier / Sales Associate,https://www.indeed.com/viewjob?cmp=Lumber-City-Corp.&t=Cashier%2Fsales&jk=3e888c39c476d0d5&xpse=SoBs67I3jO0MMewh4B0LbzkdCdPP&xfps=89f2965a-268a-4693-adf6-b848368c1e82&xkcb=SoCN67M3jOzrZsRXTJ0JbzkdCdPP&vjs=3,Part-time,$17,"South Lake Tahoe, CA","Must enjoy working with the public, possess a positive attitude, be enthusiastic and interact well with customers.

Previous cashiering experience is a plus. Knowledge of retail computer systems preferred, however, will train. Ability to provide excellent Customer Service and be a Team Player.

Excellent communication and organizational skills, high attention to detail and must be able to multi task.

Ability to have a flexible work schedule that may include holidays. Weekends required.",
